鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_num
文山區,房地(土地+建物),汀州路四段151~180號,37.19,都市：其他:第三種住宅區。,,,1100123,土地1建物1車位0,二層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991104,178.67000000000002,3,2,2,有,有,27800000,155594,,0.0,0,,RPOPMLTJLHGGFAA27DA,94.94,0.0,9.76,有,,13
中正區,房地(土地+建物)+車位,水源路61~90號,13.3,都市：其他:第三種住宅區。,,,1100324,土地2建物1車位2,九層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950731,147.78,3,2,2,有,有,28500000,192854,坡道機械,10.74,0,,RPWNMLTKMHGGFAA08DA,72.04,0.77,7.44,有,,13
文山區,房地(土地+建物)+車位,汀州路四段241~270號,35.61,都市：其他:第三種住宅區。,,,1100303,土地1建物1車位1,二層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991104,180.18,3,2,2,有,有,27880000,154734,坡道平面,0.0,0,本社區為使用權車位，每24個月抽籤，坡道平面式，車位面積無法概算。其他增建；,RPSNMLKLMHGGFAA86DA,96.26,0.0,11.11,有,1.0,14
中正區,房地(土地+建物)+車位,仁愛路二段8巷1~30號,51.89,都市：其他:第二種商業區。,,,1100101,土地2建物1車位4,七層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060411,628.8299999999999,0,0,0,無,有,169500000,325585,坡道平面,132.8,8000000,毛胚屋；,RPTNMLSKLHGGFBA67DA,265.29,31.31,30.91,有,,14
中正區,房地(土地+建物),衡陽路61~90號,5.68,都市：其他:第四種商業區。,,,1090228,土地1建物1車位0,十一層,十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070625,71.72,2,2,1,有,有,21580000,300892,,0.0,0,含裝潢費；預售屋、或土地及建物分次登記案件；,RPQPMLOJLHGGFBA07DA,37.62,0.36,7.08,有,,15
中正區,房地(土地+建物),衡陽路61~90號,5.5,都市：其他:第四種商業區。,,,1100313,土地1建物1車位0,四層,十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070625,69.85,2,2,1,有,有,20200000,289191,,0.0,0,含裝潢費；預售屋、或土地及建物分次登記案件；,RPQNMLPJMHGGFBA07DA,37.62,0.36,5.87,有,,15
萬華區,房地(土地+建物)+車位,環河南路一段91~120號,32.04,都市：其他:第四種住宅區。,,,1100105,土地1建物1車位2,十四層,二十三,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031107,266.13,3,2,2,有,有,38680000,145343,坡道平面,72.7,0,,RPOOMLTJMHGGFBA37DA,101.04,18.61,12.82,有,4.0,23
萬華區,房地(土地+建物),康定路91~120號,4.35,都市：其他:第四種商業區。,,,1091217,土地1建物1車位0,二十一層,二十六,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,64.24,2,1,1,有,有,12600000,196139,,0.0,0,,RPTQMLPKMHGGFBA77DA,36.2,0.0,4.57,有,6.0,26
萬華區,房地(土地+建物),康定路91~120號,4.35,都市：其他:第四種商業區。,,,1100316,土地1建物1車位0,二十五層,二十六,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,64.24,2,1,1,有,有,13600000,211706,,0.0,0,,RPUNMLQKMHGGFBA67DA,36.2,0.0,4.57,有,7.0,26
萬華區,房地(土地+建物)+車位,康定路91~120號,5.32,都市：其他:第四種商業區。,,,1100403,土地1建物1車位1,二十三層,二十六,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,107.33,2,1,1,有,有,15800000,147210,坡道平面,33.69,0,,RPRNMLKLMHGGFBA86DA,40.61,1.04,5.1,有,9.0,26
